Year,NameSource,NameTarget,codeSource,codeTarget,TotalDist,Total,Discont,Creat
1882,Heinävesi,Enonkoski,90.0,46.0,250.0,7515.0,0.0,1.0
1882,Kerimäki,Enonkoski,246.0,46.0,250.0,10927.0,0.0,1.0
1883,Pielavesi,Kiuruvesi,595.0,263.0,1208.0,14870.0,0.0,0.0
1885,Kymi,Kotka,311.0,285.0,1330.0,6477.0,0.0,1.0
1885,Piikkiö,Kuusisto,602.0,307.0,430.0,5613.0,0.0,1.0
1887,Impilahti,Suonlahti,147.0,757.0,1132.0,10278.0,0.0,1.0
1887,Kaavi,Kuusjärvi,204.0,309.0,658.0,8909.0,0.0,0.0
1887,Pertteli,Kuusjoki,587.0,308.0,1545.0,3781.0,0.0,1.0
1887,Ruskeala,Suonlahti,703.0,757.0,1132.0,4371.0,0.0,1.0
1887,Virolahti,Miehikkälä,935.0,489.0,2950.0,10072.0,0.0,1.0
1891,Närpiö,Ylimarkku,545.0,974.0,3246.0,11001.0,0.0,1.0
1892,Iisalmi mlk,Iisalmi,141.0,140.0,641.0,19737.0,0.0,1.0
1892,Pilavesi,Keitele,595.0,239.0,4005.0,14465.0,0.0,1.0
1897,Koivisto mlk,Lavansaari,268.0,412.0,925.0,8828.0,0.0,1.0
1897,Rantasalmi,Kangaslampi,681.0,212.0,1247.0,9968.0,0.0,0.0
1897,Soanlahti,Seiskari,757.0,745.0,645.0,2649.0,0.0,1.0
1900,Karstula,Pylkönmäki,226.0,633.0,632.0,9079.0,0.0,1.0
1900,Saarijärvi,Pylkönmäki,729.0,633.0,632.0,11887.0,0.0,1.0
1900,Suursaari,Tytärsaari,780.0,862.0,211.0,1266.0,0.0,1.0
1902,Ilomantsi,Kovero,146.0,856.0,3753.0,14162.0,0.0,1.0
1903,Muhos,Ylikiiminki,494.0,973.0,260.0,4655.0,0.0,0.0
1903,Sakkola,Metsäpirtti,731.0,488.0,3937.0,9680.0,0.0,1.0
1904,Joroinen,Jäppilä,171.0,184.0,432.0,8128.0,0.0,0.0
1904,Jyväskylän mlk,Toivakka,180.0,850.0,574.0,10463.0,0.0,1.0
1904,Marttila,Karinainen,480.0,219.0,1559.0,4217.0,0.0,1.0
1904,Sonkajärvi,Iisalmi mlk,762.0,141.0,1283.0,1283.0,0.0,0.0
1905,Kivennapa,Terijoki,264.0,843.0,2713.0,14897.0,0.0,1.0
1905,Pielavesi,Maaninka,595.0,476.0,1084.0,11564.0,0.0,0.0
1906,Hollola,Lahti,98.0,398.0,2961.0,13162.0,0.0,1.0
1906,Iisalmi mlk,Sonkajärvi,141.0,762.0,1310.0,21279.0,0.0,1.0
1906,Joroinen,Jäppilä,171.0,184.0,18.0,8051.0,0.0,0.0
1906,Joutseno,Nuijamaa,173.0,539.0,667.0,4404.0,0.0,1.0
1906,Jääski,Nuijamaa,185.0,539.0,666.0,8804.0,0.0,1.0
1906,Lappee,Nuijamaa,404.0,539.0,666.0,13729.0,0.0,1.0
1906,Pieksämäki,Virtasalmi,593.0,937.0,2110.0,12659.0,0.0,1.0
1906,Pulkkila,Piippola,617.0,603.0,499.0,2625.0,0.0,0.0
1906,Urjala,Kylmäkoski,887.0,310.0,309.0,10417.0,0.0,0.0
1906,Viipurin mlk,Nuijamaa,930.0,539.0,2000.0,25044.0,0.0,1.0
1907,Nilsiä,Rautavaara,534.0,687.0,870.0,19502.0,0.0,0.0
1907,Nilsiä,Muuruvesi,534.0,502.0,4332.0,19502.0,0.0,1.0
1907,Säräisniemi,Vuolijoki,785.0,940.0,1030.0,3993.0,0.0,1.0
1908,Keuruu,Vilppula,249.0,933.0,2082.0,11097.0,0.0,1.0
1908,Nurmes mlk,Valtimo,542.0,911.0,3224.0,12376.0,0.0,1.0
1908,Pieksämäki,Jäppilä,593.0,184.0,605.0,10645.0,0.0,0.0
1908,Ruovesi,Vilppula,702.0,933.0,3273.0,13932.0,0.0,1.0
1909,Jyväskylän mlk,Toivakka,850.0,180.0,209.0,633.0,0.0,0.0
1909,Korpilahti,Toivakka,850.0,277.0,365.0,633.0,0.0,0.0
1909,Korpilahti,Toivakka,277.0,850.0,365.0,10069.0,0.0,0.0
