code,code50,Name_Fi,Name_Sv,Name_AltGen,Name_Alt,province_Fi,province_Sv,Status,Urban
91,000011,Helsinki,Helsingfors,,,Uudenmaan lääni,Nylands län,Remain,1.0
78,000020,Hanko,Hangö,,,Uudenmaan lääni,Nylands län,Remain,1.0
434,000030,Loviisa,Lovisa,,,Uudenmaan lääni,Nylands län,Remain,1.0
612,000040,Porvoo,Borgå,Porvoo kla,Porvoon kla,Uudenmaan lääni,Nylands län,Remain,1.0
835,000050,Tammisaari,Ekenäs,,,Uudenmaan lääni,Nylands län,Remain,1.0
106,000110,Hyvinkää,Hyvinge,Hyvinkää kla,Hyvinkään kla,Uudenmaan lääni,Nylands län,Remain,1.0
186,000120,Järvenpää,Träskända,,,Uudenmaan lääni,Nylands län,Remain,1.0
220,000130,Karjaa,Karis,Karjaa kla,Karjaan kla,Uudenmaan lääni,Nylands län,Remain,1.0
224,000140,Karkkila,,Karkkila kla,Karkkilan kla,Uudenmaan lääni,Nylands län,Remain,1.0
235,000150,Kauniainen,Grankulla,Kauniainen kla,Kauniaisten kla,Uudenmaan lääni,Nylands län,Remain,1.0
245,000160,Kerava,Kervo,,Keravan kla,Uudenmaan lääni,Nylands län,Remain,1.0
427,000170,Lohja,Lojo,,Lohjan kla,Uudenmaan lääni,Nylands län,Remain,1.0
15,001001,Artjärvi,Artsjö,,,Uudenmaan lääni,Nylands län,Remain,0.0
18,001002,Askola,,,,Uudenmaan lääni,Nylands län,Remain,0.0
34,001003,Bromarv,Bromarf,Bromarvi,,Uudenmaan lääni,Nylands län,Remain,0.0
39,401002,Degerby,,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0
49,001004,Espoo,Esbo,,,Uudenmaan lääni,Nylands län,Remain,0.0
92,001005,Helsingin mlk,Helsinge,Helsinki mlk,Vantaa,Uudenmaan lääni,Nylands län,Remain,0.0
107,001006,Hyvinkään mlk,Hyvinge lk,Hyvinkää mlk,,Uudenmaan lääni,Nylands län,Remain,0.0
149,001007,Inkoo,Ingä,,Ingå,Uudenmaan lääni,Nylands län,Remain,0.0
221,001008,Karjaan mlk,Karis lk,Karjaa mlk,,Uudenmaan lääni,Nylands län,Remain,0.0
223,001009,Karjalohja,Karislojo,,,Uudenmaan lääni,Nylands län,Remain,0.0
257,101010,Kirkkonummi,Kyrkslätt,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0
407,001011,Lapinjärvi,Lappträsk,,,Uudenmaan lääni,Nylands län,Remain,0.0
424,001012,Liljendal,,,Liljendaali,Uudenmaan lääni,Nylands län,Remain,0.0
428,001013,Lohjan mlk,Lojo lk,Lohja mlk,,Uudenmaan lääni,Nylands län,Remain,0.0
504,001014,Myrskylä,Mörskom,,,Uudenmaan lääni,Nylands län,Remain,0.0
505,001015,Mäntsälä,,,,Uudenmaan lääni,Nylands län,Remain,0.0
540,001016,Nummi,,,Nummi-Pusula,Uudenmaan lääni,Nylands län,Remain,0.0
543,001017,Nurmijärvi,,,,Uudenmaan lääni,Nylands län,Remain,0.0
560,001018,Orimattila,,,,Uudenmaan lääni,Nylands län,Remain,0.0
585,001019,Pernaja,Pemä,,Pernå,Uudenmaan lääni,Nylands län,Remain,0.0
606,001020,Pohja,Pojo,,,Uudenmaan lääni,Nylands län,Remain,0.0
611,001021,Pornainen,Borgnäs,,,Uudenmaan lääni,Nylands län,Remain,0.0
613,001022,Porvoon mlk,Borgä lk,Porvoo mlk,,Uudenmaan lääni,Nylands län,Remain,0.0
616,001023,Pukkila,,,,Uudenmaan lääni,Nylands län,Remain,0.0
622,001024,Pusula,,,,Uudenmaan lääni,Nylands län,Remain,0.0
627,001025,Pyhäjärvi,Pyhäjärvi U,,Pyhäjärvi U,Uudenmaan lääni,Nylands län,Remain,0.0
701,001026,Ruotsinpyhtää,Strömfors,,,Uudenmaan lääni,Nylands län,Remain,0.0
737,001027,Sammatti,,,,Uudenmaan lääni,Nylands län,Remain,0.0
753,001028,Sipoo,Sibbo,,,Uudenmaan lääni,Nylands län,Remain,0.0
755,101029,Siuntio,Sjundeå,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0
756,001030,Snappertuna,,,,Uudenmaan lääni,Nylands län,Remain,0.0
836,001031,Tammisaaren mlk,Ekenäs lk,Tammisaari mlk,,Uudenmaan lääni,Nylands län,Remain,0.0
842,001032,Tenhola,Tenela,,,Uudenmaan lääni,Nylands län,Remain,0.0
858,001033,Tuusula,Tusby,,,Uudenmaan lääni,Nylands län,Remain,0.0
